Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date,CTR
186434,Innovate Industries,Search,All Ages,45 days,Instagram,0.02,8295.0,2.53,Chicago,French,106,8986,9,Outdoor Adventurers,2021-10-11,0.011796127309147563
84661,NexGen Systems,Search,Women 35-44,30 days,Instagram,0.1,15029.0,2.65,New York,German,354,5044,5,Health & Wellness,2021-12-12,0.07018239492466297
117168,TechCorp,Email,All Ages,60 days,Instagram,0.07,13644.0,6.27,Miami,Mandarin,138,2720,2,Health & Wellness,2021-01-03,0.05073529411764706
110853,Alpha Innovations,Display,All Ages,45 days,Facebook,0.02,9323.0,3.35,New York,Mandarin,184,2435,2,Tech Enthusiasts,2021-09-15,0.075564681724846
105001,TechCorp,Display,Women 25-34,45 days,Website,0.05,15454.0,3.03,Los Angeles,Mandarin,498,1717,2,Foodies,2021-09-03,0.29004076878276064
181464,DataTech Solutions,Influencer,All Ages,60 days,Google Ads,0.1,15971.0,5.63,Houston,English,162,5794,1,Fashionistas,2021-02-28,0.027959958577839145
9448,NexGen Systems,Influencer,Men 25-34,45 days,YouTube,0.12,9055.0,3.87,Houston,German,521,2649,4,Health & Wellness,2021-11-19,0.19667799169497924
178532,TechCorp,Social Media,All Ages,45 days,Google Ads,0.07,16076.0,5.03,Houston,Mandarin,458,2198,7,Health & Wellness,2021-02-16,0.2083712465878071
168259,Innovate Industries,Social Media,Men 25-34,30 days,Instagram,0.11,14808.0,6.46,Houston,German,714,5973,6,Fashionistas,2021-12-25,0.11953792064289302
30069,Innovate Industries,Search,Men 25-34,30 days,Google Ads,0.08,6646.0,3.56,New York,Mandarin,701,8333,1,Tech Enthusiasts,2021-05-19,0.08412336493459738
28456,Innovate Industries,Social Media,Women 25-34,45 days,Website,0.04,18069.0,6.19,New York,German,654,2301,8,Outdoor Adventurers,2021-12-17,0.2842242503259452
156519,Alpha Innovations,Search,Men 18-24,45 days,YouTube,0.05,18666.0,4.48,Miami,Spanish,553,6070,6,Foodies,2021-10-26,0.09110378912685338
7817,DataTech Solutions,Influencer,Women 25-34,45 days,Instagram,0.03,6574.0,3.51,Los Angeles,Mandarin,967,3205,8,Outdoor Adventurers,2021-06-01,0.3017160686427457
5255,DataTech Solutions,Display,All Ages,15 days,Instagram,0.08,19080.0,7.13,Houston,German,434,3733,5,Health & Wellness,2021-05-25,0.11626038039110635
9849,Alpha Innovations,Influencer,Men 25-34,15 days,Google Ads,0.09,7678.0,5.71,Los Angeles,Spanish,888,1995,3,Tech Enthusiasts,2021-12-25,0.44511278195488724
130691,TechCorp,Social Media,Women 25-34,30 days,Instagram,0.09,17581.0,3.41,Chicago,German,601,4931,3,Fashionistas,2021-01-21,0.12188197120259582
191767,Alpha Innovations,Email,Men 18-24,30 days,Website,0.1,19494.0,2.46,Chicago,German,688,5395,4,Outdoor Adventurers,2021-05-22,0.12752548656163115
48711,DataTech Solutions,Display,Women 35-44,45 days,YouTube,0.06,7198.0,4.23,Houston,German,207,7020,8,Fashionistas,2021-06-15,0.029487179487179487
132177,DataTech Solutions,Display,Women 35-44,15 days,Google Ads,0.06,18092.0,7.24,Miami,English,553,5458,4,Health & Wellness,2021-02-16,0.10131916452913155
6604,Alpha Innovations,Search,Men 18-24,15 days,Instagram,0.13,10956.0,2.96,Los Angeles,Mandarin,238,3121,10,Tech Enthusiasts,2021-02-03,0.0762576097404678
22726,Alpha Innovations,Display,Women 25-34,60 days,Instagram,0.14,18552.0,5.13,New York,English,392,6776,4,Fashionistas,2021-04-06,0.05785123966942149
810,TechCorp,Influencer,Men 25-34,60 days,Facebook,0.05,13552.0,7.52,Chicago,Mandarin,141,5741,4,Health & Wellness,2021-03-21,0.024560181153109213
113504,NexGen Systems,Influencer,All Ages,60 days,Instagram,0.15,18731.0,7.6,Miami,German,983,1885,1,Outdoor Adventurers,2021-12-20,0.5214854111405836
90859,Alpha Innovations,Social Media,Men 18-24,45 days,YouTube,0.01,7668.0,2.26,Houston,Mandarin,879,1743,7,Foodies,2021-12-05,0.504302925989673
37748,Alpha Innovations,Display,Women 35-44,45 days,Facebook,0.01,10738.0,3.65,Houston,French,913,1097,5,Outdoor Adventurers,2021-06-02,0.8322698268003647
129626,TechCorp,Influencer,Women 25-34,60 days,Website,0.03,19803.0,7.28,Chicago,Spanish,687,9991,1,Tech Enthusiasts,2021-02-20,0.06876188569712742
19645,Alpha Innovations,Email,Women 35-44,30 days,YouTube,0.03,6498.0,6.95,New York,German,706,9193,5,Outdoor Adventurers,2021-10-27,0.07679756336342869
60152,Innovate Industries,Influencer,Men 25-34,30 days,Website,0.13,16791.0,7.94,Los Angeles,Spanish,809,1333,8,Foodies,2021-10-19,0.6069017254313578
64048,Alpha Innovations,Social Media,Men 18-24,30 days,YouTube,0.06,15623.0,5.41,Miami,French,665,5126,4,Outdoor Adventurers,2021-06-22,0.129730784237222
160889,DataTech Solutions,Search,Men 18-24,45 days,Website,0.1,5559.0,6.88,Miami,German,978,2618,5,Foodies,2021-10-16,0.3735676088617265
54784,Alpha Innovations,Search,Men 25-34,15 days,Google Ads,0.03,16365.0,4.04,Los Angeles,Spanish,757,2225,3,Outdoor Adventurers,2021-02-03,0.3402247191011236
129465,NexGen Systems,Social Media,All Ages,45 days,Instagram,0.06,13643.0,7.37,Los Angeles,Spanish,783,5859,5,Tech Enthusiasts,2021-09-12,0.1336405529953917
142388,DataTech Solutions,Email,Women 25-34,30 days,Website,0.02,16098.0,4.71,Houston,French,832,7921,9,Health & Wellness,2021-02-07,0.10503724277237722
142235,Alpha Innovations,Email,All Ages,30 days,Email,0.09,13960.0,4.54,Los Angeles,English,771,6127,2,Health & Wellness,2021-09-07,0.1258364615635711
139137,NexGen Systems,Influencer,Men 25-34,30 days,Google Ads,0.12,10254.0,4.65,Chicago,Mandarin,732,9168,1,Fashionistas,2021-03-13,0.07984293193717278
77727,NexGen Systems,Email,Men 18-24,30 days,Facebook,0.07,9572.0,7.41,Los Angeles,Mandarin,869,3671,6,Outdoor Adventurers,2021-12-13,0.23672023971669845
198811,DataTech Solutions,Influencer,Men 18-24,45 days,Google Ads,0.1,18395.0,7.3,New York,Spanish,787,2949,6,Foodies,2021-09-08,0.26687012546625977
66401,DataTech Solutions,Social Media,Men 25-34,15 days,Google Ads,0.13,17547.0,2.49,Houston,Spanish,547,9295,5,Health & Wellness,2021-12-02,0.05884884346422808
166159,Alpha Innovations,Influencer,All Ages,60 days,Website,0.12,8469.0,2.04,New York,Spanish,972,6513,10,Outdoor Adventurers,2021-03-25,0.1492399815753109
188688,NexGen Systems,Influencer,Men 18-24,45 days,Email,0.15,7997.0,2.64,Chicago,French,848,3178,2,Foodies,2021-12-14,0.2668344870988043
150192,TechCorp,Influencer,Women 35-44,15 days,Instagram,0.15,18413.0,3.07,Los Angeles,Mandarin,782,7927,5,Fashionistas,2021-06-26,0.09865018291913713
163810,Alpha Innovations,Search,Women 25-34,45 days,Instagram,0.01,5255.0,7.35,Los Angeles,Mandarin,504,5970,9,Outdoor Adventurers,2021-10-17,0.08442211055276382
65430,DataTech Solutions,Influencer,Women 25-34,30 days,Website,0.03,8949.0,4.41,Miami,English,869,5242,4,Outdoor Adventurers,2021-04-05,0.16577642121327738
181499,DataTech Solutions,Email,Women 25-34,15 days,Google Ads,0.02,14905.0,7.44,Los Angeles,Spanish,504,5318,2,Outdoor Adventurers,2021-04-04,0.0947724708537044
112317,TechCorp,Search,Men 25-34,30 days,Instagram,0.08,16712.0,4.91,Chicago,Spanish,329,3775,8,Foodies,2021-09-19,0.08715231788079471
128745,DataTech Solutions,Influencer,Men 18-24,60 days,YouTube,0.08,9772.0,4.16,Chicago,French,686,2655,1,Fashionistas,2021-09-22,0.2583804143126177
68412,NexGen Systems,Influencer,Men 18-24,45 days,Email,0.14,19509.0,5.4,Houston,German,311,3353,2,Fashionistas,2021-06-06,0.09275275872353117
72465,TechCorp,Search,All Ages,15 days,Instagram,0.05,15255.0,6.1,New York,English,226,5061,5,Tech Enthusiasts,2021-07-14,0.04465520648093262
89987,NexGen Systems,Influencer,Women 25-34,30 days,Instagram,0.05,11898.0,2.83,Chicago,French,977,4064,10,Health & Wellness,2021-07-16,0.2404035433070866
160068,DataTech Solutions,Social Media,All Ages,15 days,Instagram,0.1,6597.0,7.32,Miami,German,263,1207,4,Outdoor Adventurers,2021-07-17,0.21789560894780446
101073,NexGen Systems,Search,All Ages,60 days,Facebook,0.14,11590.0,3.52,New York,French,152,1217,1,Tech Enthusiasts,2021-11-29,0.12489728841413311
106474,TechCorp,Display,Men 25-34,45 days,Instagram,0.1,13491.0,4.03,Los Angeles,German,792,10000,8,Outdoor Adventurers,2021-09-16,0.0792
9198,NexGen Systems,Social Media,Men 25-34,60 days,Website,0.03,17099.0,4.21,Chicago,French,591,7845,6,Fashionistas,2021-03-14,0.07533460803059273
21615,Innovate Industries,Email,Women 35-44,30 days,Facebook,0.14,12673.0,6.93,New York,Spanish,749,1749,4,Health & Wellness,2021-03-21,0.4282447112635792
112235,Innovate Industries,Search,Men 18-24,30 days,YouTube,0.09,7086.0,5.31,Miami,French,227,1672,7,Outdoor Adventurers,2021-06-29,0.13576555023923445
98626,NexGen Systems,Email,Women 35-44,45 days,YouTube,0.09,16178.0,3.39,Miami,Mandarin,437,8375,6,Health & Wellness,2021-03-17,0.05217910447761194
129879,Innovate Industries,Social Media,Women 25-34,60 days,Google Ads,0.07,10330.0,5.34,New York,Spanish,769,2819,4,Tech Enthusiasts,2021-10-31,0.2727917701312522
66177,NexGen Systems,Display,Men 25-34,45 days,Email,0.07,11062.0,6.85,Miami,French,544,5694,3,Outdoor Adventurers,2021-04-22,0.09553916403231472
10076,Innovate Industries,Email,Women 35-44,15 days,Facebook,0.06,6349.0,2.21,Houston,English,874,7624,1,Foodies,2021-08-09,0.11463798530954879
145013,DataTech Solutions,Display,Women 25-34,45 days,Facebook,0.02,12162.0,6.88,Houston,French,204,4058,4,Health & Wellness,2021-04-18,0.05027106949236077
54403,TechCorp,Influencer,Men 18-24,30 days,Website,0.11,6901.0,3.66,New York,French,502,6484,2,Tech Enthusiasts,2021-01-18,0.07742134484885872
112813,TechCorp,Social Media,All Ages,30 days,Google Ads,0.06,11071.0,5.47,Houston,French,591,8850,4,Outdoor Adventurers,2021-01-28,0.06677966101694915
2816,TechCorp,Influencer,Women 35-44,60 days,Facebook,0.11,13218.0,3.37,Miami,German,136,7795,8,Foodies,2021-09-18,0.017447081462475946
41260,DataTech Solutions,Display,Men 25-34,15 days,Website,0.06,10209.0,4.09,Houston,German,284,5157,5,Health & Wellness,2021-01-15,0.05507077758386659
189058,Innovate Industries,Social Media,Women 35-44,30 days,Email,0.08,6211.0,7.8,New York,Spanish,755,6309,1,Tech Enthusiasts,2021-12-19,0.11967031225233793
188902,Alpha Innovations,Email,Women 25-34,45 days,Google Ads,0.12,6866.0,6.94,Miami,German,874,4032,5,Outdoor Adventurers,2021-07-16,0.21676587301587302
167030,Alpha Innovations,Email,Men 18-24,30 days,Instagram,0.06,9793.0,7.02,Chicago,English,938,9950,9,Fashionistas,2021-08-13,0.0942713567839196
134553,NexGen Systems,Email,Women 25-34,60 days,Instagram,0.02,10959.0,7.0,Los Angeles,French,782,7930,1,Health & Wellness,2021-08-21,0.09861286254728878
92597,Alpha Innovations,Influencer,Men 25-34,15 days,Google Ads,0.09,12530.0,2.53,Houston,English,942,4026,8,Outdoor Adventurers,2021-09-09,0.23397913561847988
178490,NexGen Systems,Search,Women 25-34,30 days,Facebook,0.02,8563.0,6.81,New York,German,455,6232,5,Foodies,2021-01-05,0.07301026957637997
190727,Innovate Industries,Email,Women 25-34,30 days,YouTube,0.09,10576.0,5.18,Houston,English,285,8429,1,Fashionistas,2021-07-16,0.03381184007592834
28291,Alpha Innovations,Search,Women 25-34,15 days,Google Ads,0.02,10633.0,7.43,New York,French,934,9479,10,Health & Wellness,2021-07-05,0.09853360059077962
100164,Alpha Innovations,Social Media,Men 18-24,45 days,YouTube,0.09,15097.0,6.06,Los Angeles,Spanish,333,1359,8,Fashionistas,2021-06-03,0.24503311258278146
112904,DataTech Solutions,Search,Women 25-34,60 days,Google Ads,0.06,15613.0,6.35,Miami,Mandarin,965,5746,2,Fashionistas,2021-04-29,0.1679429168116951
180473,TechCorp,Influencer,Men 25-34,30 days,Facebook,0.1,6894.0,6.0,Houston,French,999,9781,5,Foodies,2021-06-12,0.10213679582864738
170637,Alpha Innovations,Search,Men 18-24,45 days,Google Ads,0.02,6119.0,6.63,New York,German,589,1151,5,Health & Wellness,2021-07-01,0.5117289313640313
88987,NexGen Systems,Social Media,All Ages,60 days,Instagram,0.12,19041.0,4.08,Miami,German,979,5905,3,Fashionistas,2021-10-19,0.16579170194750212
146322,Alpha Innovations,Social Media,Women 35-44,45 days,Email,0.02,14941.0,3.52,Los Angeles,Spanish,937,4296,3,Tech Enthusiasts,2021-11-18,0.2181098696461825
137860,TechCorp,Display,Women 25-34,60 days,YouTube,0.13,10754.0,4.78,Houston,German,497,3196,2,Health & Wellness,2021-09-12,0.15550688360450562
143391,Alpha Innovations,Social Media,Men 25-34,60 days,Instagram,0.13,11927.0,4.7,Chicago,Spanish,411,3831,6,Health & Wellness,2021-11-07,0.10728269381362568
171679,Innovate Industries,Social Media,All Ages,15 days,YouTube,0.01,14526.0,6.66,Chicago,Spanish,429,7998,4,Health & Wellness,2021-05-09,0.0536384096024006
164775,DataTech Solutions,Display,Women 35-44,30 days,YouTube,0.11,8953.0,6.19,New York,English,592,8384,1,Outdoor Adventurers,2021-06-09,0.07061068702290077
171403,TechCorp,Influencer,Women 35-44,15 days,Google Ads,0.12,6853.0,3.83,Miami,Spanish,109,4575,4,Tech Enthusiasts,2021-08-06,0.023825136612021857
182092,Innovate Industries,Email,Men 18-24,15 days,Instagram,0.02,17875.0,3.77,Miami,French,423,4445,9,Foodies,2021-11-18,0.09516310461192351
31930,TechCorp,Display,Women 35-44,60 days,YouTube,0.08,17084.0,7.3,Los Angeles,Spanish,724,8216,7,Foodies,2021-06-24,0.0881207400194742
78447,Alpha Innovations,Search,Women 35-44,60 days,Website,0.02,12527.0,4.7,New York,Spanish,663,3044,7,Fashionistas,2021-12-03,0.2178055190538765
145115,TechCorp,Influencer,Women 35-44,30 days,Instagram,0.09,5165.0,5.83,Chicago,French,377,7895,2,Tech Enthusiasts,2021-07-29,0.04775174160861305
96762,DataTech Solutions,Social Media,Women 35-44,30 days,Instagram,0.15,5011.0,3.16,New York,Spanish,639,2439,9,Outdoor Adventurers,2021-02-06,0.26199261992619927
153368,NexGen Systems,Search,Women 35-44,60 days,YouTube,0.04,13398.0,2.88,Houston,French,181,7798,5,Foodies,2021-03-09,0.02321107976404206
69029,TechCorp,Search,All Ages,60 days,Website,0.04,16360.0,3.79,Chicago,Spanish,532,9535,8,Foodies,2021-02-13,0.05579444153120084
6683,Innovate Industries,Search,Men 25-34,30 days,Google Ads,0.04,17350.0,2.35,Los Angeles,English,303,3668,3,Outdoor Adventurers,2021-04-23,0.08260632497273719
80570,NexGen Systems,Influencer,Women 25-34,15 days,Website,0.06,13003.0,5.35,New York,English,766,3750,5,Foodies,2021-09-27,0.20426666666666668
146280,NexGen Systems,Influencer,All Ages,15 days,Instagram,0.12,18322.0,6.7,New York,French,267,3482,9,Tech Enthusiasts,2021-10-07,0.07668006892590465
9571,NexGen Systems,Search,All Ages,60 days,Website,0.13,12443.0,6.75,Los Angeles,French,319,3080,3,Outdoor Adventurers,2021-03-22,0.10357142857142858
138795,TechCorp,Social Media,Women 25-34,15 days,Facebook,0.07,13968.0,7.77,Miami,German,817,5733,6,Health & Wellness,2021-04-05,0.14250828536542823
107075,Alpha Innovations,Display,Women 35-44,60 days,Google Ads,0.07,13257.0,5.57,Houston,Mandarin,324,8392,4,Outdoor Adventurers,2021-05-10,0.038608198284080075
33645,NexGen Systems,Influencer,Men 18-24,60 days,Google Ads,0.04,16390.0,5.2,New York,English,222,2077,5,Fashionistas,2021-03-06,0.10688493018777083
123496,NexGen Systems,Email,Women 25-34,45 days,Email,0.13,10457.0,5.93,Chicago,French,451,8619,10,Tech Enthusiasts,2021-05-06,0.05232625594616545
174673,NexGen Systems,Search,Women 35-44,15 days,Email,0.09,17373.0,3.94,Los Angeles,German,457,6047,9,Tech Enthusiasts,2021-07-22,0.07557466512320159
70580,Alpha Innovations,Social Media,All Ages,15 days,Instagram,0.11,13467.0,2.41,Chicago,Spanish,135,1275,3,Health & Wellness,2021-05-15,0.10588235294117647
179456,TechCorp,Display,Women 25-34,15 days,Website,0.06,14314.0,2.73,Chicago,English,970,5790,10,Tech Enthusiasts,2021-08-29,0.16753022452504318
2676,Innovate Industries,Email,Men 18-24,30 days,Google Ads,0.02,19121.0,2.28,Chicago,Mandarin,936,3392,9,Outdoor Adventurers,2021-05-01,0.2759433962264151
3746,TechCorp,Influencer,Women 35-44,45 days,Instagram,0.15,8685.0,6.74,New York,Mandarin,683,5134,7,Foodies,2021-04-06,0.13303467082197118
126839,DataTech Solutions,Social Media,Women 35-44,30 days,Instagram,0.09,18755.0,5.08,Miami,German,158,5370,5,Outdoor Adventurers,2021-07-03,0.02942271880819367
185302,NexGen Systems,Email,All Ages,15 days,Facebook,0.15,7103.0,7.42,Chicago,French,971,6898,7,Fashionistas,2021-09-04,0.14076543925775586
33839,Alpha Innovations,Display,All Ages,60 days,Website,0.08,11832.0,3.2,Houston,Mandarin,583,7899,9,Tech Enthusiasts,2021-09-16,0.07380681098873275
52781,Alpha Innovations,Display,Women 25-34,45 days,Email,0.03,11561.0,4.15,New York,Mandarin,934,8525,1,Outdoor Adventurers,2021-08-09,0.10956011730205278
161294,Innovate Industries,Display,Women 25-34,15 days,YouTube,0.02,11956.0,3.23,Houston,English,632,5231,1,Foodies,2021-11-25,0.12081819919709424
121245,Alpha Innovations,Social Media,All Ages,45 days,Instagram,0.11,19471.0,6.09,Houston,English,615,1271,10,Tech Enthusiasts,2021-03-06,0.4838709677419355
43737,Innovate Industries,Email,Men 18-24,30 days,YouTube,0.13,16041.0,4.59,Houston,German,526,7986,7,Health & Wellness,2021-10-29,0.06586526421237165
141313,NexGen Systems,Influencer,Men 18-24,30 days,YouTube,0.02,11873.0,7.0,Houston,Mandarin,736,5996,2,Health & Wellness,2021-02-27,0.12274849899933289
122530,TechCorp,Influencer,Men 25-34,45 days,Website,0.14,17664.0,6.24,New York,English,512,1787,6,Foodies,2021-09-12,0.28651371012870736
147697,Innovate Industries,Influencer,Women 25-34,60 days,Email,0.07,10545.0,4.83,Houston,German,714,5173,2,Health & Wellness,2021-08-25,0.13802435723951287
129029,Alpha Innovations,Email,All Ages,60 days,Website,0.1,12343.0,5.48,Houston,Spanish,802,2158,5,Fashionistas,2021-07-03,0.3716404077849861
24357,TechCorp,Social Media,Women 25-34,15 days,YouTube,0.08,15283.0,2.78,Chicago,German,538,3843,4,Health & Wellness,2021-09-24,0.13999479573250065
159378,DataTech Solutions,Influencer,Women 25-34,45 days,YouTube,0.02,13629.0,5.57,Los Angeles,English,538,4057,7,Outdoor Adventurers,2021-08-26,0.13261030317968941
142052,Alpha Innovations,Social Media,Men 25-34,15 days,Facebook,0.11,14001.0,2.73,Chicago,Mandarin,110,1942,7,Fashionistas,2021-03-08,0.05664263645726056
56900,TechCorp,Social Media,Women 25-34,30 days,Google Ads,0.13,18171.0,4.92,Chicago,German,967,1366,7,Tech Enthusiasts,2021-11-21,0.7079062957540263
11674,Innovate Industries,Social Media,Men 18-24,15 days,Google Ads,0.05,13720.0,3.74,Miami,English,133,4785,6,Fashionistas,2021-12-25,0.027795193312434692
14543,Innovate Industries,Email,Men 18-24,15 days,Google Ads,0.01,18658.0,2.62,New York,German,287,7183,8,Foodies,2021-11-04,0.039955450368926636
44128,DataTech Solutions,Display,Women 25-34,60 days,Email,0.01,9873.0,7.05,Miami,Spanish,692,7204,2,Outdoor Adventurers,2021-11-24,0.09605774569683509
33363,NexGen Systems,Influencer,All Ages,45 days,Website,0.1,19732.0,4.29,Houston,English,161,5977,1,Outdoor Adventurers,2021-05-28,0.02693659026267358
85451,TechCorp,Search,Women 25-34,45 days,Instagram,0.01,19636.0,2.09,Miami,French,391,5481,5,Health & Wellness,2021-02-10,0.07133734719941616
172703,TechCorp,Email,Women 35-44,30 days,Email,0.11,9981.0,7.18,Chicago,Mandarin,222,1603,2,Tech Enthusiasts,2021-02-27,0.13849033063006863
12409,TechCorp,Email,Men 18-24,60 days,Website,0.05,15547.0,7.06,Miami,Mandarin,711,3641,6,Fashionistas,2021-12-30,0.195276023070585
182954,TechCorp,Social Media,Men 25-34,15 days,Google Ads,0.08,5970.0,5.16,Los Angeles,English,935,5219,7,Outdoor Adventurers,2021-03-30,0.1791530944625407
107682,TechCorp,Search,Men 18-24,15 days,Website,0.05,18477.0,3.38,Houston,English,801,4617,10,Fashionistas,2021-01-07,0.17348927875243664
152039,TechCorp,Search,Women 25-34,45 days,Email,0.12,19308.0,7.85,Chicago,Spanish,628,8795,2,Tech Enthusiasts,2021-07-18,0.07140420693575895
192056,Innovate Industries,Display,All Ages,45 days,Website,0.13,5971.0,7.88,Los Angeles,Mandarin,407,1330,8,Outdoor Adventurers,2021-03-07,0.30601503759398496
169962,NexGen Systems,Search,Women 25-34,30 days,Website,0.13,5403.0,7.76,Miami,German,708,6315,5,Foodies,2021-08-25,0.11211401425178147
113761,NexGen Systems,Email,All Ages,15 days,Website,0.07,9350.0,7.86,Chicago,English,931,2939,7,Fashionistas,2021-09-03,0.3167744130656686
62580,NexGen Systems,Influencer,Women 25-34,15 days,YouTube,0.12,12951.0,3.35,New York,German,130,2262,10,Foodies,2021-06-14,0.05747126436781609
120596,NexGen Systems,Influencer,Men 18-24,30 days,Email,0.09,7976.0,6.02,Los Angeles,Spanish,490,9349,2,Foodies,2021-05-26,0.05241202267622205
2003,DataTech Solutions,Search,All Ages,30 days,YouTube,0.13,17916.0,6.04,New York,German,797,9976,2,Fashionistas,2021-06-27,0.07989174017642342
67775,TechCorp,Email,Men 25-34,30 days,Instagram,0.03,18976.0,2.25,New York,Spanish,414,1061,3,Foodies,2021-09-07,0.3901979264844486
100678,Innovate Industries,Social Media,Men 18-24,15 days,Email,0.09,14995.0,6.41,New York,French,566,6686,9,Tech Enthusiasts,2021-10-30,0.08465450194436135
141970,NexGen Systems,Email,Women 35-44,30 days,Google Ads,0.06,7394.0,7.19,Miami,Spanish,433,4012,7,Foodies,2021-12-16,0.10792622133599203
173668,Innovate Industries,Search,Men 25-34,15 days,Facebook,0.04,14701.0,6.47,New York,English,481,9392,10,Foodies,2021-10-20,0.05121379897785349
107245,Innovate Industries,Social Media,Men 25-34,15 days,Email,0.13,19675.0,3.14,Houston,Mandarin,925,5147,1,Fashionistas,2021-10-27,0.1797163396153099
115627,Innovate Industries,Social Media,Women 35-44,30 days,Website,0.02,15365.0,5.96,New York,German,868,2281,3,Health & Wellness,2021-10-14,0.38053485313459007
39480,TechCorp,Display,Women 25-34,45 days,Google Ads,0.02,17051.0,2.47,Los Angeles,French,657,4401,4,Outdoor Adventurers,2021-03-01,0.1492842535787321
178621,Innovate Industries,Social Media,Men 18-24,30 days,Google Ads,0.13,8790.0,7.87,New York,English,962,5948,10,Foodies,2021-05-16,0.1617350369872226
181149,DataTech Solutions,Display,Men 18-24,45 days,Website,0.03,12592.0,3.15,Miami,Spanish,392,7254,1,Foodies,2021-04-19,0.054039150813344365
37470,TechCorp,Social Media,Men 25-34,45 days,Website,0.03,17655.0,7.43,Chicago,Spanish,126,2887,6,Foodies,2021-08-28,0.04364392102528576
113698,NexGen Systems,Display,Women 25-34,60 days,Website,0.13,5891.0,6.17,Los Angeles,Spanish,923,3469,10,Fashionistas,2021-07-02,0.26607091380801384
155350,Alpha Innovations,Social Media,Women 25-34,30 days,YouTube,0.07,6064.0,4.83,Houston,Mandarin,539,1093,2,Foodies,2021-08-13,0.4931381518755718
183788,NexGen Systems,Display,All Ages,30 days,Facebook,0.12,15405.0,7.54,Houston,French,155,8676,5,Outdoor Adventurers,2021-07-12,0.017865375749193176
140994,Alpha Innovations,Social Media,Women 35-44,45 days,Google Ads,0.13,17745.0,3.14,Chicago,French,757,3378,5,Fashionistas,2021-04-14,0.224097098875074
193734,Innovate Industries,Email,All Ages,15 days,Website,0.05,12799.0,6.92,Miami,English,242,8055,9,Fashionistas,2021-10-11,0.03004345127250155
140571,Alpha Innovations,Email,All Ages,60 days,Website,0.1,10441.0,7.1,Chicago,German,520,1587,2,Fashionistas,2021-02-15,0.3276622558286074
70505,TechCorp,Email,Women 35-44,45 days,Website,0.02,8672.0,5.1,Chicago,English,508,7949,8,Outdoor Adventurers,2021-03-01,0.06390740973707384
101936,Alpha Innovations,Email,Women 25-34,15 days,Facebook,0.03,11449.0,3.21,Miami,English,105,4445,5,Fashionistas,2021-04-11,0.023622047244094488
78058,TechCorp,Email,Women 35-44,45 days,Facebook,0.02,18271.0,3.08,New York,German,448,2891,8,Outdoor Adventurers,2021-11-09,0.1549636803874092
101239,TechCorp,Email,Men 18-24,15 days,Google Ads,0.14,11275.0,7.85,Houston,Spanish,245,2345,10,Health & Wellness,2021-05-14,0.1044776119402985
117569,Innovate Industries,Email,All Ages,15 days,Email,0.09,10741.0,4.34,Miami,Spanish,569,3865,10,Health & Wellness,2021-02-08,0.14721862871927555
41269,DataTech Solutions,Search,Men 18-24,60 days,Instagram,0.06,15082.0,3.23,Chicago,German,829,2968,7,Health & Wellness,2021-01-24,0.27931266846361186
